tiempo_s,voltaje_mV
0.0,0.0003
0.004,0.0005
0.008,0.001
0.012,0.0018
0.016,0.0031
0.02,0.0053
0.024,0.0085
0.028,0.0133
0.032,0.0198
0.036,0.0283
0.04,0.039
0.044,0.0516
0.048,0.0656
0.052,0.0802
0.056,0.094
0.06,0.106
0.064,0.1148
0.068,0.1194
0.072,0.1194
0.0761,0.1146
0.0801,0.1058
0.0841,0.0938
0.0881,0.0799
0.0921,0.0654
0.0961,0.0515
0.1001,0.0392
0.1041,0.0292
0.1081,0.0219
0.1121,0.018
0.1161,0.0182
0.1201,0.0238
0.1241,0.038
0.1281,0.0675
0.1321,0.1228
0.1361,0.2162
0.1401,0.3544
0.1441,0.5306
0.1481,0.7218
0.1521,0.893
0.1561,1.009
0.1601,1.045
0.1641,0.9938
0.1681,0.8666
0.1721,0.6882
0.1761,0.4898
0.1801,0.3009
0.1841,0.1432
0.1881,0.0281
0.1921,-0.0431
0.1961,-0.0754
0.2001,-0.0779
0.2041,-0.06
0.2081,-0.0302
0.2121,0.005
0.2161,0.041
0.2201,0.075
0.2241,0.1059
0.2282,0.1334
0.2322,0.1576
0.2362,0.1792
0.2402,0.1986
0.2442,0.2163
0.2482,0.2325
0.2522,0.2473
0.2562,0.2605
0.2602,0.2722
0.2642,0.282
0.2682,0.2898
0.2722,0.2955
0.2762,0.2989
0.2802,0.3
0.2842,0.2987
0.2882,0.2951
0.2922,0.2892
0.2962,0.2812
0.3002,0.2712
0.3042,0.2596
0.3082,0.2465
0.3122,0.2322
0.3162,0.217
0.3202,0.2012
0.3242,0.1851
0.3282,0.169
0.3322,0.153
0.3362,0.1374
0.3402,0.1225
0.3442,0.1083
0.3482,0.095
0.3522,0.0827
0.3562,0.0714
0.3602,0.0612
0.3642,0.052
0.3682,0.0439
0.3722,0.0367
0.3763,0.0305
0.3803,0.0251
0.3843,0.0205
0.3883,0.0166
0.3923,0.0134
0.3963,0.0107
0.4003,0.0084
0.4043,0.0066
0.4083,0.0052
0.4123,0.004
0.4163,0.0031
0.4203,0.0023
0.4243,0.0018
0.4283,0.0013
0.4323,0.001
0.4363,0.0007
0.4403,0.0005
0.4443,0.0004
0.4483,0.0003
0.4523,0.0003
0.4563,0.0003
0.4603,0.0004
0.4643,0.0006
0.4683,0.0011
0.4723,0.0019
0.4763,0.0033
0.4803,0.0055
0.4843,0.0089
0.4883,0.0137
0.4923,0.0204
0.4963,0.0291
0.5003,0.0399
0.5043,0.0527
0.5083,0.0668
0.5123,0.0813
0.5163,0.0951
0.5203,0.1068
0.5243,0.1153
0.5284,0.1196
0.5324,0.1192
0.5364,0.1141
0.5404,0.1049
0.5444,0.0928
