tiempo_s,voltaje_mV
0.0,0.0001
0.004,0.0001
0.008,0.0002
0.012,0.0003
0.016,0.0005
0.02,0.0009
0.024,0.0015
0.028,0.0024
0.032,0.0037
0.036,0.0057
0.04,0.0084
0.044,0.0122
0.048,0.0173
0.052,0.0238
0.056,0.032
0.06,0.0418
0.064,0.0533
0.068,0.0663
0.072,0.0803
0.0761,0.0948
0.0801,0.1091
0.0841,0.1224
0.0881,0.1338
0.0921,0.1426
0.0961,0.1482
0.1001,0.15
0.1041,0.148
0.1081,0.1424
0.1121,0.1335
0.1161,0.122
0.1201,0.1086
0.1241,0.0943
0.1281,0.0798
0.1321,0.0658
0.1361,0.0529
0.1401,0.0415
0.1441,0.0317
0.1481,0.0236
0.1521,0.0171
0.1561,0.0122
0.1601,0.0087
0.1641,0.0066
0.1681,0.006
0.1721,0.0075
0.1761,0.012
0.1801,0.0215
0.1841,0.0398
0.1881,0.0744
0.1921,0.1366
0.1961,0.2391
0.2001,0.3882
0.2041,0.5763
0.2081,0.7783
0.2121,0.9569
0.2161,1.0746
0.2201,1.1053
0.2241,1.0418
0.2282,0.8966
0.2322,0.6969
0.2362,0.4765
0.2402,0.2669
0.2442,0.091
0.2482,-0.0396
0.2522,-0.1237
0.2562,-0.1672
0.2602,-0.1794
0.2642,-0.17
0.2682,-0.1477
0.2722,-0.119
0.2762,-0.0887
0.2802,-0.0598
0.2842,-0.0339
0.2882,-0.0116
0.2922,0.0073
0.2962,0.0232
0.3002,0.037
0.3042,0.0495
0.3082,0.0613
0.3122,0.0729
0.3162,0.0849
0.3202,0.0975
0.3242,0.1107
0.3282,0.1248
0.3322,0.1396
0.3362,0.1551
0.3402,0.1713
0.3442,0.1879
0.3482,0.2048
0.3522,0.2218
0.3562,0.2386
0.3602,0.2551
0.3642,0.271
0.3682,0.2861
0.3722,0.3
0.3763,0.3127
0.3803,0.3237
0.3843,0.3331
0.3883,0.3405
0.3923,0.3458
0.3963,0.349
0.4003,0.35
0.4043,0.3487
0.4083,0.3452
0.4123,0.3396
0.4163,0.3319
0.4203,0.3224
0.4243,0.3111
0.4283,0.2982
0.4323,0.2841
0.4363,0.269
0.4403,0.253
0.4443,0.2364
0.4483,0.2195
0.4523,0.2025
0.4563,0.1857
0.4603,0.1691
0.4643,0.1531
0.4683,0.1376
0.4723,0.123
0.4763,0.1092
0.4803,0.0963
0.4843,0.0844
0.4883,0.0735
0.4923,0.0636
0.4963,0.0547
0.5003,0.0467
0.5043,0.0397
0.5083,0.0335
0.5123,0.028
0.5163,0.0234
0.5203,0.0193
0.5243,0.0159
0.5284,0.013
0.5324,0.0105
0.5364,0.0085
0.5404,0.0068
0.5444,0.0054
0.5484,0.0043
0.5524,0.0034
0.5564,0.0026
0.5604,0.002
0.5644,0.0016
0.5684,0.0012
0.5724,0.0009
0.5764,0.0007
0.5804,0.0005
0.5844,0.0004
0.5884,0.0003
0.5924,0.0002
0.5964,0.0002
0.6004,0.0001
0.6044,0.0001
0.6084,0.0001
0.6124,0.0
0.6164,0.0
0.6204,0.0
0.6244,0.0
0.6284,0.0
0.6324,0.0
0.6364,0.0
0.6404,0.0
0.6444,0.0
0.6484,0.0
0.6524,0.0
0.6564,0.0
0.6604,0.0
0.6644,0.0
0.6684,0.0
0.6724,0.0
